what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.collabnet.subversion.merge,3.0.4,"com.collabnet.subversion.merge",1374035328900
stopped,bundle,org.tigris.subversion.subclipse.graph,1.1.1,"org.tigris.subversion.subclipse.graph",1374035328904
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1374035328905
stopped,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1374035328905
stopped,bundle,org.tigris.subversion.subclipse.ui,1.8.0,"org.tigris.subversion.subclipse.ui",1374035328905
stopped,bundle,jd.ide.eclipse,0.1.3,"jd.ide.eclipse",1374035328905
stopped,bundle,net.sf.eclipsecs.ui,5.5.0.201111092104,"net.sf.eclipsecs.ui",1374035328905
stopped,bundle,net.sf.eclipsecs.core,5.5.0.201111092104,"net.sf.eclipsecs.core",1374035328906
stopped,bundle,org.eclipse.mat.jdt,1.1.1.201108240735,"org.eclipse.mat.jdt",1374035328910
stopped,bundle,org.eclipse.jst.common.ui,1.0.4.v201109151453,"org.eclipse.jst.common.ui",1374035328919
stopped,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.304.v201110211728,"org.eclipse.wst.jsdt.web.support.jsp",1374035328933
stopped,bundle,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.ui",1374035328934
stopped,bundle,com.python.pydev.codecompletion,2.7.1.2012100913,"com.python.pydev.codecompletion",1374035328942
stopped,bundle,com.python.pydev.refactoring,2.7.1.2012100913,"com.python.pydev.refactoring",1374035328945
stopped,bundle,com.python.pydev.analysis,2.7.1.2012100913,"com.python.pydev.analysis",1374035328945
stopped,bundle,com.python.pydev.debug,2.7.1.2012100913,"com.python.pydev.debug",1374035328946
stopped,bundle,com.python.pydev.fastparser,2.7.1.2012100913,"com.python.pydev.fastparser",1374035328946
stopped,bundle,org.python.pydev.red_core,2.7.1.2012100913,"org.python.pydev.red_core",1374035328950
stopped,bundle,com.python.pydev,2.7.1.2012100913,"com.python.pydev",1374035328951
stopped,bundle,org.python.pydev.django,2.7.1.2012100913,"org.python.pydev.django",1374035328957
stopped,bundle,org.python.pydev.customizations,2.7.1.2012100913,"org.python.pydev.customizations",1374035328977
stopped,bundle,org.python.pydev.debug,2.7.1.2012100913,"org.python.pydev.debug",1374035328977
stopped,bundle,org.python.pydev.refactoring,2.7.1.2012100913,"org.python.pydev.refactoring",1374035328979
stopped,bundle,org.python.pydev,2.7.1.2012100913,"org.python.pydev",1374035329497
stopped,bundle,com.esri.arcgis.android.core,10.1.1.201301161115,"com.esri.arcgis.android.core",1374035329498
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1374035329529
